name,lat,long
Rutherford (South) - Telarah,151.49308085402106,-32.733995113202276
Tenambit - East Maitland,151.61156364575595,-32.7346098358618
Thornton - Millers Forest,151.66947061786016,-32.76293924490067
Anna Bay,152.0396402139296,-32.7736220485886
Lemon Tree Passage - Tanilba Bay,152.00198629787957,-32.74424643911941
Nelson Bay Peninsula,152.12666663186207,-32.73650600682734
Raymond Terrace,151.75664600290463,-32.77038837268808
Seaham - Woodville,151.70726117205047,-32.65923738358378
Tea Gardens - Hawks Nest,152.12698337236827,-32.62783080592295
Williamtown - Medowie - Karuah,151.89324548116807,-32.71713959268291
Muswellbrook,150.90826058136074,-32.31406922903721
Muswellbrook Surrounds,150.6071264484704,-32.45040387198158
Scone,150.8579966831514,-32.0501536921106
Scone Surrounds,150.7277311934816,-31.967106344518413
Dapto - Avondale,150.7665272879713,-34.5224783973945
Horsley - Kembla Grange,150.76419002553155,-34.47746246834149
Port Kembla Industrial,150.88567705215894,-34.46096976583612
Unanderra - Mount Kembla,150.82412610380356,-34.44193023087333
Berkeley - Lake Heights - Cringila,150.8460800539962,-34.47791580507107
Port Kembla - Warrawong,150.89536343371,-34.487960008201505
Windang - Primbee,150.87829442849417,-34.515241311200704
Illawarra Catchment Reserve,150.71545983717675,-34.36942932246483
Albion Park - Macquarie Pass,150.7191635893881,-34.576797268292616
Albion Park Rail,150.794881961096,-34.56182816670982
Kiama,150.84346754883327,-34.68179157506381
Kiama Downs - Minnamurra,150.84898988201795,-34.63957377452329
Kiama Hinterland - Gerringong,150.75416876964886,-34.68905493052058
Shellharbour - Flinders,150.83191328317602,-34.602117152200776
Shellharbour - Oak Flats,150.82650453938456,-34.564796922909515
Warilla,150.8542065143244,-34.554817429378566
Balgownie - Fairy Meadow,150.88536215613445,-34.391676407427084
Corrimal - Tarrawanna - Bellambi,150.8971063347982,-34.37085580102267
Figtree - Keiraville,150.85465264600467,-34.41913232398208
Helensburgh,150.95315836274332,-34.18646203384658
Thirroul - Austinmer - Coalcliff,150.9379753745593,-34.28917431681134
Woonona - Bulli - Russell Vale,150.90381925875593,-34.34064286091643
Wollongong - East,150.8960748630431,-34.425111426209995
Wollongong - West,150.8782035826891,-34.428812465007766
Bulahdelah - Stroud,152.07074514272182,-32.365051300157184
Forster,152.53197607146294,-32.221273619606094
Forster-Tuncurry Surrounds,152.4033100452283,-32.25055966812815
Tuncurry,152.48561038360825,-32.16066231982258
Kempsey,152.82857540782547,-31.081433776368137
Kempsey Surrounds,152.57753508316088,-30.91961339349932
Macksville - Scotts Head,152.95357440206837,-30.720966321401747
Nambucca Heads,152.98498112482744,-30.645647994766406
Nambucca Heads Surrounds,152.7596584226568,-30.689105883732104
South West Rocks,153.04935514403013,-30.914451407167913
Lord Howe Island,159.0768102761735,-31.55253857739601
Laurieton - Bonny Hills,152.69327544058044,-31.618617593849198
Port Macquarie - West,152.8604352379287,-31.437884344040434
Port Macquarie Surrounds,152.4738783397224,-31.366479408135913
Wauchope,152.76837202875015,-31.467636546242208
Port Macquarie - East,152.9244306818129,-31.45438076507006
Port Macquarie - South,152.89351720054722,-31.48377663814498
Gloucester,151.79319428198266,-31.90553049833465
Old Bar - Manning Point - Red Head,152.54406587024118,-31.97255463757549
Taree,152.46696310806027,-31.909305949515083
Taree Surrounds,152.25521953323658,-31.776097233381734
Wingham,152.35573273358696,-31.858116281497786
Albury - East,147.0136181882818,-36.05963609662304
Albury - North,146.9023334769035,-36.04097279355433
Albury - South,146.86738707420272,-36.06164255626135
Albury Surrounds,147.18377963354743,-35.756288130087874
Lavington,146.94148424460457,-36.03166500886081
Hay,144.70740114756313,-34.15259743784116
Wentworth - Buronga,142.04123500653904,-34.1141306471897
Wentworth-Balranald Region,142.90413156949245,-33.78332889587756
Corowa,146.35846788951767,-35.993831957679326
Corowa Surrounds,146.28149407745872,-35.64316809868212
Deniliquin,144.97318878060588,-35.52906898373077
Deniliquin Surrounds,144.6129511201406,-35.30763582709197
Moama,144.7757207794142,-36.05782758949495
Tocumwal - Finley - Jerilderie,145.7444730264602,-35.454221789283665
Armidale,151.6678000711096,-30.503119249280818
Armidale Surrounds - North,151.9309733402588,-30.33661827484183
Armidale Surrounds - South,151.39482785780038,-30.577494824872147
Walcha,151.7532067425486,-31.166387371199246
Glen Innes,151.9030483380289,-29.644973753279622
Inverell,151.11003961596154,-29.7625952322343
Inverell Surrounds - East,151.11685515936557,-29.460642983912436
Inverell Surrounds - West,150.5898531975789,-29.74430011428221
Tenterfield,152.08639569288977,-28.943810604909793
Moree,149.8265450300237,-29.461046466208238
Moree Surrounds,149.70348631888035,-29.22969333129665
Narrabri,149.80283278284028,-30.353119065998374
Narrabri Surrounds,149.52235341618268,-30.33359110811034
Gunnedah,150.22303425637946,-30.984403997298774
Gunnedah Surrounds,150.17491673752937,-30.991130459782845
Quirindi,150.43803636815846,-31.55048654375138
Tamworth - East,150.95505039372364,-31.155422329930605
Tamworth - North,150.9616521854924,-31.09222269640227
Tamworth - West,150.86071563092696,-31.090983066229192
Tamworth Surrounds,150.879436598951,-30.87680640538855
Belmont - Bennetts Green,151.67838170700088,-33.01892900685589
Belmont South - Blacksmiths,151.6538735865362,-33.06404242255819
Charlestown - Dudley,151.70801306822767,-32.975787103951674
Glendale - Cardiff - Hillsborough,151.65985294797088,-32.94228561511215
Mount Hutton - Windale,151.67211849342254,-32.99016727638118
Redhead,151.70972031191525,-33.00901900966764
Swansea - Caves Beach,151.62640502569016,-33.13016637737027
Valentine - Eleebana,151.6452634383405,-33.00479512663181
Warners Bay - Boolaroo,151.64104937877568,-32.963257538153435
Bolton Point - Teralba,151.60099857388573,-32.9626668090761
Bonnells Bay - Silverwater,151.54057892351315,-33.10942620187596
Edgeworth - Cameron Park,151.61474697558597,-32.913733640124256
Morisset - Cooranbong,151.45343719833545,-33.08270439394693
Toronto - Awaba,151.55892689608496,-33.016265933686824
Wangi Wangi - Rathmines,151.5812905299536,-33.05522605933542
West Wallsend - Barnsley - Killingworth,151.55807682877693,-32.92943531910214
Adamstown - Kotara,151.7117500394691,-32.94417225686664
Beresfield - Hexham,151.66018386474647,-32.827384916942734
Hamilton - Broadmeadow,151.7407661065856,-32.924312700232655
Lambton - New Lambton,151.70454007519282,-32.924036144895275
Maryland - Fletcher - Minmi,151.63803804015882,-32.87546450213631
Mayfield - Warabrook,151.73032778579494,-32.891588729635124
Merewether - The Junction,151.74344313590146,-32.94725254347666
Newcastle - Cooks Hill,151.7742273934445,-32.931021602902604
Newcastle Port - Kooragang,151.74448478584142,-32.869470713059506
Shortland - Jesmond,151.69591009558823,-32.88184862337301
Stockton - Fullerton Cove,151.82541778807092,-32.85391234921665
Wallsend - Elermore Vale,151.65605547417647,-32.903282602396494
Waratah - North Lambton,151.71754627101507,-32.90401651662155
Wickham - Carrington - Tighes Hill,151.75508363411768,-32.91279880791762
Ballina,153.55479057678966,-28.847238374590727
Ballina Surrounds,153.47188928664855,-28.86008287258832
Bangalow,153.5008310829397,-28.673364755869073
Brunswick Heads - Ocean Shores,153.54347317229877,-28.547309539292723
Byron Bay,153.60016001046725,-28.6810260664226
Evans Head,153.31378065163614,-29.13927646281048
Lennox Head - Skennars Head,153.5838783022271,-28.78743385664844
Mullumbimby,153.4429529743717,-28.547868698289225
Casino,153.04042291654855,-28.844069959691975
Casino Surrounds,152.84657386567355,-28.929416548338825
Goonellabah,153.3318521844009,-28.822959790548442
Kyogle,152.8795359813069,-28.513224710341483
Lismore,153.28599021510814,-28.81950201840809
Lismore Surrounds,153.269863941372,-28.75087001176006
Kingscliff - Fingal Head,153.55204124812195,-28.25817398901013
Murwillumbah,153.3982626823947,-28.33488619859588
Murwillumbah Surrounds,153.2971959157678,-28.378731973043685
Pottsville,153.5084458941467,-28.400285835299957
Tweed Heads,153.44954437496455,-28.216823457321144
Banora Point,153.5362989220617,-28.222063317165453
Terranora - North Tumbulgum,153.48554546286533,-28.250615627933744
Tweed Heads South,153.53592660177264,-28.20164487238216
Griffith (NSW),146.0484729904568,-34.28122199114251
Griffith Surrounds,145.6817024051556,-33.90124848554507
Leeton,146.41060073481975,-34.53845783368845
Narrandera,146.51012321425554,-34.750061584347726
Tumbarumba,148.12511690072188,-36.02252265434191
Tumut,148.21829725344284,-35.31743496642792
Tumut Surrounds,148.357384369909,-35.45276272294058
Cootamundra,148.01652981459992,-34.59950844806181
Gundagai,148.14410547456959,-35.02300522730662
Junee,147.67792889135032,-34.81430303850021
Temora,147.37979361045487,-34.393230710279425
Wagga Wagga - East,147.40108568622912,-35.149865267976104
Wagga Wagga - North,147.4065040729776,-35.07350917747486
Wagga Wagga - South,147.33975186046837,-35.15365949896939
Wagga Wagga - West,147.308724642642,-35.129361512963094
Wagga Wagga Surrounds,147.1443476061905,-35.147138252579055
Berry - Kangaroo Valley,150.57799742881838,-34.7593403416207
Callala Bay - Currarong,150.72256031345196,-34.990552393375864
Culburra Beach,150.7104075057342,-34.90221642272568
Ettrema - Sassafras - Budawang,150.23989712589633,-35.09652974099665
Huskisson - Vincentia,150.66558619833768,-35.066087332971634
North Nowra - Bomaderry,150.57741008174355,-34.83122688345471
Nowra,150.5965733441697,-34.90619117290154
St Georges Basin - Erowal Bay,150.61279990343186,-35.103364636752
Sussex Inlet - Berrara,150.56217382536255,-35.146773483849074
Tomerong - Wandandian - Woollamia,150.5127962098628,-34.99693596151407
Ulladulla,150.45115839035194,-35.343319770306174
Ulladulla Surrounds,150.3538967239738,-35.376556529337265
Bowral,150.41919690552547,-34.48675927856409
Hill Top - Colo Vale,150.4922700343574,-34.36084190506625
Mittagong,150.48705968388208,-34.45916374809795
Moss Vale - Berrima,150.37266049664274,-34.532505760824
Robertson - Fitzroy Falls,150.50274508524132,-34.614018874812814
Southern Highlands,150.24904258764488,-34.46544180033836
Baulkham Hills - East,150.98804312011978,-33.7599737369399
Baulkham Hills (West) - Bella Vista,150.96462746713868,-33.74248666591626
Glenhaven,150.9988515807942,-33.702098348962416
West Pennant Hills,151.0303012011925,-33.749978241437574
Castle Hill - Central,150.9878907039406,-33.73357484636869
Castle Hill - East,151.02419600025738,-33.72241658109071
Castle Hill - North,150.9994850900562,-33.719957657700114
Castle Hill - South,151.00965811882833,-33.74162135464717
Castle Hill - West,150.97488098219048,-33.71886211970514
Cherrybrook,151.04613921487947,-33.72195129459736
Kellyville - East,150.96588158001865,-33.70633362418724
Kellyville - West,150.94757117087065,-33.71855191175922
Dural - Kenthurst - Wisemans Ferry,150.98231977134418,-33.54649284495859
Galston - Laughtondale,151.0786129895241,-33.549463323773956
Bilpin - Colo - St Albans,150.78294944222006,-33.27077984562922
Kurrajong Heights - Ebenezer,150.7486325885949,-33.5271822406082
Pitt Town - McGraths Hill,150.87999656890923,-33.60225415103357
Box Hill - Nelson,150.90655832832473,-33.64438055148963
North Kellyville,150.9485089944173,-33.68295257855154
Rouse Hill - Beaumont Hills,150.93017618835646,-33.68450917944512
Blacktown (East) - Kings Park,150.91155557810242,-33.75683664999282
Blacktown (North) - Marayong,150.88931778812355,-33.748587030534104
Doonside - Woodcroft,150.87196001503875,-33.76491198388911
Lalor Park - Kings Langley,150.93907082625012,-33.76175504025227
Blacktown - South,150.90816224976294,-33.78699007668294
Blacktown - West,150.8920503391145,-33.77796199157872
Seven Hills - Prospect,150.9208274426501,-33.79255482454115
Toongabbie - West,150.93759673902574,-33.79270069683951
Glenwood,150.93488697931537,-33.73568061567318
Acacia Gardens,150.9139030711622,-33.73335806086195
Quakers Hill,150.89079817857134,-33.724122055584075
Kellyville Ridge - The Ponds,150.9136911198182,-33.70501451991592
Marsden Park - Shanes Park,150.8074686512367,-33.70512504191714
Riverstone,150.85351167784117,-33.67445311456614
Schofields (West) - Colebee,150.86077147695374,-33.7126746706524
Schofields - East,150.89356898687276,-33.69375621186622
Stanhope Gardens - Parklea,150.92398017868382,-33.71839579374288
Bidwill - Hebersham - Emerton,150.81813723504126,-33.740705935219076
Glendenning - Dean Park,150.85580579959452,-33.74411456539687
Hassall Grove - Plumpton,150.83760931202315,-33.7435091106748
Lethbridge Park - Tregear,150.78823122491383,-33.731850984779456
Mount Druitt - Whalan,150.81286015359055,-33.764961325005764
Prospect Reservoir,150.86304189936442,-33.808647923619624
Rooty Hill - Minchinbury,150.84320895225707,-33.78008508330252
Banksmeadow,151.2134932057994,-33.957224214374584
Botany,151.2006265388981,-33.94907810864728
Pagewood - Hillsdale - Daceyville,151.2229327414429,-33.94081580683658
Port Botany Industrial,151.22250877142093,-33.9721239398413
